treespec,prod_wd,unit,bark,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 
CONIF,RW,THS_M3,UNBK,EL	267.28 e	267.28 	: 	295.72 	: 	: 	: 	313.58 	: 	331.57 	314.73 	234.87 	440.4 	915.22 	428.68 	426.04 	440.4 	495.19 	484 	367 	600.39 	592.05 	442 	460 	524 	521 	629 	600 	513 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,ES	7318.84 e	8578.81 	9929.26 	9211 	9017.81 	9079.36 	7074.33 	6059.83 e	: 	5324.88 	5905.22 	5928.58 	7870.93 	6871 	8025 	8714 	9070 	8975 	8901 	8551 	8114 	7800 	7850 	8154 	8154 	8654 	8511 	7283 	7509 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,EU27_2020	336741.19 s	339998.53 s	335333.6 s	305542.21 s	297776.02 	294394.35 	286089.83 s	272287.63 	267696.56 	281094.46 	282666.21 	254475.27 	277875.08 	320549.24 	279932.18 	309241.23 	275221.32 	271240.94 	259697.13 	247927.64 	273708.71 	238054.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,EU28	: 	350024.33 s	345753.73 s	315831.21 s	312157.75 e	304473.03 e	296676.16 e	282645.27 e	277350.32 e	290641.88 	291916.07 	262629.99 	285914.51 	329184.23 	287973.17 	317241.13 	283598.42 	278820.96 	266944.14 	255255.63 	280927.71 	245236.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,FI	47338.06 	49899.31 	54179.69 	50206 	48749.43 	46871.07 	45191.87 	44991.36 	41645.51 	41780.9 	41300.19 	32651.35 	40420.91 	47172.52 	42199.89 	43472 	45753.42 	45531.42 	44792.85 	44005.45 	46002.93 	45100 	45035.77 	43548 	38718 	41734 	40874 	34645 	31397 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,FR	18705.43 e	19352.3 e	19342.44 e	19301 	19096.93 	19029.07 	19682.94 	19167.18 	19193.48 	22250.44 p	23880.85 	23455.31 	20554.63 	22110.77 	21440.55 	20600.1 	21038.01 	20488.69 	22389.46 	25493.03 	28944.07 	20886 	20736.84 	20251.61 	19528.32 	21118.87 	20387.08 	18616.26 	19912.23 	20281.92 	20837.52 	20327.39 	19228.13 
CONIF,RW,THS_M3,UNBK,HR	876.35 	965.01 	1059.03 	875 	807.6 	837.88 	848.32 	1025 	1012 	707 e	613 e	621 e	655 e	657 	751 	623 	575 	532 	524 	578 	546 	503 	472 	421 	353 	364 	374 	358 	301 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,HU	1000.35 	917.72 	925 	951 	1002.83 	948.74 	: 	1015.58 	844.62 	794.54 	720.87 	720.5 	580.6 	760 	802 	779 	861.3 	678 	620.1 	616 	696.3 	542.9 	545 	556 	423 	420 	504 	457 	393 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,IE	: 	: 	3434.46 	3119 	2983.99 	2807.26 	2725.84 	2665.72 	2474.75 	2513.14 	2514.34 	2345.83 	2203 	2683 	2654 	2630 	2548.94 	2643.25 	2600.3 	2421 	2631.2 	2535 	2208 	2129 	2250 	2163 	1976 	1776 	1850 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,IS	: 	1.8 	2 	: 	: 	: 	: 	: 	3.34 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,IT	5056.69 ep	7565.16 e	2231.29 ep	2233 ep	: 	1947.81 	1913.77 	: 	: 	2091.13 	2073.6 	1987.14 	1862.84 	1885.15 	1873.05 	1628.7 	1559.46 	1457 	1363 	1526 	1719 	1512 	1397 	1385 	1441 	1736 	1602 	1522 	1166 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,LI	4.96 	5.7 	9.51 	5.84 	4.23 	5.41 	8.65 	10.64 	12 	13 	13 	13 	14.15 	17.5 	17.5 	: 	: 	: 	: 	: 	: 	: 	9 	9 	9 	14 	21 	12 	13 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,LT	3570 	3651 	3689 	3747 	3747 	3452 	3716 	3561 	3642 	3884 	3800.94 	2734.55 	2709.21 	3480 	2980 	3470 	3460 	3570 	3370 	2930 	2880 	2260 	2279 	3140 	4365 	4600 	2977 	1679 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,LU	245.59 	253.34 	284.03 	252 	165.01 	: 	: 	: 	: 	111.17 	117.26 	116.81 	99.59 	99.59 e	139.9 	127.23 	95.53 	127.9 	117.07 	121.23 	121.4 e	121.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,LV	8691.66 	8349.7 	8209.52 	8044.28 	8823.99 	8245.74 	8358.27 	: 	6509.34 	9003.61 	7985.27 	7436.99 	6087.84 	7734.8 	8501.3 	8655 	6738 	7008.82 	8551.7 	8588 	9618 	9522 	5760 	5420 	4400 	2800 	2800 	3317 	1625 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,MT	: 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,NL	863.42 e	905.3 	901.91 	957 	703.22 	690 	674.9 	565 	493.9 	537.2 	582.16 	538.77 	616.13 	565.24 	649.72 	657 	600 	594 	522 	544 	645 	651 	647 	694 	583 	693 	601 	630 	810 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,NO	10477.89 e	11280.81 e	11164 e	10863.5 e	10726 	10610.29 	10231.78 	9751.4 	9300.3 	9056.57 	9020.97 	7290.32 	8744.53 	8900.36 	8063.85 	8889.95 	7991 	7450 	7849.39 	8242.37 	7601.87 	7801.7 	7637.6 	8145 	7836 	8476 	8166 	9026 	9113 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,PL	30922.32 e	33078.56 e	35896.79 e	34917.22 e	31613.47 	30631.54 	30156.04 	28419.71 	27649.66 	27429.07 	26529.01 	25493.06 	25477.38 	27269.19 	23403.5 	23028.4 	23501 	21887 	19828 	18047 	19541 	17637 	16857 	15946 	14980 	15365 	13992 	14118 	14004 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,PT	4395.91 	4531.14 	4291.91 	3980 	2841.3 	2871.98 	2828.31 	2542.3 	3047.46 	3715.29 	3651.6 	3619.45 	3315.67 	3836.98 	3700.9 	3468.4 	4177 	3532 	3285 	3958 	5182 	4380 	4384 	4760 	4760 	5117 	5107 	5283 	5311 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,RO	7472.3 	5329.98 	5953.54 	5278 	5420.43 	6024.41 	6540.17 	5901.56 	6129.5 	5857.62 	5139.76 	4922.1 	5532.3 	6667 	4674 	5575 	5848 	6568 	6592 	4523 	4918.5 	5146.2 	4769 	5369 	4575 	4355 	3942 	2211 	3396 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,SE	65250 p	65150 	63900 	65880 	73909.09 	67260 	66630 	62760 	62595 	64925 	65340 	59100 	64500 	71240 	58400 	92000 	60750 	60550 	60150 	56840 	57010 	52570 	54386 	54810 	50560 	58100 	50800 	47500 	46670 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,SI	2105.57 	2781.99 	3443.75 	2905 	3493.02 	3062.52 	2764.19 	1895.97 	: 	1758.91 	1555.73 	1582.17 	1746.78 	1788.62 	1885.22 	1712.56 	1556 	1549 	1272 	1241 	1209 	1147 	1187 	1172 	1278 	1043 	1202 	709 	752 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,SK	4034.92 	5356.35 	5789.39 	5518 	5193.64 	4662.26 	5149.19 	4053.04 	4426.56 	5448.84 	6382.68 	6275.67 	6224.54 	5025.14 	4785.43 	6225 	4036 	3375 	2884 	2755.5 	3211 	3142 	3213 	3686 	3431 	3237 	3045 	2990 	2645 	: 	: 	: 	: 
CONIF,RW,THS_M3,UNBK,UK	: 	10025.8 	10420.13 	10289 	10231.36 	10078.66 	10718.53 	10357.64 	9653.77 	9547.39 	9249.85 	8154.73 	8039.44 	8635 	8041 	8000 	7877 	7580 	7247 	7328 	7219 	7184 	6968 	7120 	6794 	7377 	7185 	6139 	5859 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,AT	3762.47 	4070.3 	3603.71 	3217.71 	3034.85 	3359.26 	3196.64 	3202.13 	3355.28 	3296.93 	3084.88 	3063.21 	3541.48 	3423.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.73 	54.13 e	55 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,BG	707.07 	766.16 	935.39 	962.63 	872.19 	663.99 	511.61 	504.57 	392 	335.5 	305.8 	245 	332 	267 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,CH	900.11 	825.34 	754.99 	610.63 	553.26 	547.58 	560 	: c	: c	530.23 	512.18 	481.96 	466.69 	477.94 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,CY	: 	: 	: 	: 	: 	: 	0 	0 	6.43 	3.67 	3.99 	3.62 	7.45 	8.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1243.76 	1153.9 	1470.7 e	1274.9 e	1529 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,DE	: 	: 	: 	: 	: 	: 	: 	: 	4981.93 	5793.03 	4948.66 	4970.69 e	4923.6 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,DK	: 	: 	: 	: 	1532.4 	1532.4 	: 	: 	: 	915.22 	885.76 e	907.5 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,EE	1569 	1621 	1805 	1691 	1360 	1320 	970 	820 	800 	790 	800 	550 e	480 	400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,EL	: 	: 	: 	: 	: 	: 	: 	: 	87.3 	99.26 	93.21 	87.27 e	87.27 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,ES	574.94 e	574.94 	2259 	1233.79 	3447.49 	3447.49 	1480.46 	1373.56 	609.2 	804.6 	712.64 	666.67 	689.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,FI	4985.5 p	4286.09 	4091.34 	4241.66 	3909.07 	4551.78 	4370.78 	4251.7 	4272.18 	3951.71 	3546.76 	3039 	2645.49 	2971 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,FR	2444.67 e	2575.74 e	2564.85 e	2722.31 e	3042.25 	3054.36 	3072.48 	3159.16 e	3123.47 e	3135.69 	3079.24 e	2984.29 e	2944.96 	2913.63 	2902.94 	2888.83 	2908.26 	2952.12 	2991.61 	3052.78 	3104.58 	3187.34 	3289 	3397.88 	3502.87 	3556.71 	3639.63 	3795.35 	3940.32 	3850.31 	3692.93 	3498.28 	3367.95 
CONIF,RW_FW,THS_M3,OVBK,HR	: 	: 	: 	: 	: 	: 	: 	59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,HU	177.44 	124.64 	131.96 	139.94 	185.95 	175.45 	215.2 	163.37 	140.96 	146.92 	121.07 	176.8 	94.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,IE	: 	: 	120.23 	141.66 	280.98 	229.64 	120.86 	130.12 	110.17 	81.15 	85.51 	96 	26 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,IS	: 	0.8 	1 e	0.5 	: 	: 	: 	: 	0.69 	0.76 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,IT	1025.31 p	1025.31 e	1005.2 ep	1004.3 ep	: 	1245.2 	1307.04 	: 	747.2 e	747.2 	832.73 	686.86 	607.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,LI	0.87 	1.45 	1.67 	1.23 	1.43 	1.3 	2.23 	: 	6.2 	6.6 	5 	11 	9 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CONIF,RW_FW,THS_M3,OVBK,LT	758.23 	602.29 	498 	814 	851 	778.78 	778.78 	778.78 	801.35 	623.02 	731 	690.2 	490.2 	609.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
